site_location	stars	conrtibutor_name	how_long_ago	review_title	review	can_be_recommended	value_for_money	product_quality	appearance	ease_of_assembly-installation	works_as_expected	helpful_yes	helpful_no
us	3	junmarib	a year ago	Great Structure, Looks Great, Hard to Clean	The chair looks exactly as seen in the picture and works just as it says it is supposed to. No hickups in that area and assembly was about the same for any Ikea product. The structure of the chair is fine however I have white and the material gets very dirty and it is hard to clean. I have tired different products and they either do not work or rub off the material. I would recommend as $64 is too expensive (in my book) to have a chair you can not clean and may end up replacing in less than a year. You might as well put the $64 together to get a more expensive chair or go with the black color. I have only had the chair 4 months.	No	3	2	3	4	2	3	0
us	1	Leslie3	2 years ago	Very uncomfortable!	We bought it recently. When I officially sat on it in IKEA, it felt fine but once we bought it home, it was very uncomfortable. It doesn't cradle your back. My husband still insists on keeping it though!	No	2	1	4	3	1	3	0
us	5	Domino 44G	a month ago	Are you kidding...?	Are you kidding? This chair IS GREAT !!! This kit went together without any issues, each part fitting the rest snuggly. The quality is outstanding and the chair is comfortable. Home run, outta the park! Thanks : )	Yes	5	5	5	5	5	2	0
us	5	K8plus2	a month ago	Comfortable	My husband works from home and uses this chair on a daily basis. He says it is comfortable and I think it looks nice in our home office. Also, the high back is nice because he's 6'2"	Yes	5	5	5	5	5	2	0
us	5	Hal 39	a month ago	Great comfort at a great price	Bought this chair a month ago. Very comfortable ans looks great as well. Can not be beat for the price. Does not roll out from beneath me ,like my old chair did.	Yes	5	4	5	5	None	2	0
us	5	artgal464	11 months ago	Beautiful & Sturdy	I was a little worried about having a white office chair, but I'm two months in and it still looks like I just assembled it. I get lots of nice comments from everyone who visits my office. Very happy with the purchase!	Yes	5	5	5	5	5	2	0
us	5	Altemose_Prime	a year ago	So Far So Good	I've had this chair for a few days. It was very easy to put together. It seem sturdy and is comfortable.	Yes	5	5	5	5	5	2	0
us	1	ManMachineInterface	a year ago	Broke within 6 months - Please do not buy	I bought this chair less than 6 months ago. I used it in my home office and it was okay as first. Now, in less than half a year, the frame supports for the seat to the back cracked on both sides! It is useless now. I wish I had spent the money of something else.	No	1	1	4	4	1	2	0
us	5	Jen777	2 years ago	Great chair	Bought it for my 17 year old. It was super easy to put together. Didn't need anything extra. Everything comes with it. Love the design and color. I love the fact it has a zipper in back for you to store the tools for the chair. Very comfy.	Yes	5	5	5	5	5	2	0
us	3	Ddavif	2 years ago	Good chair for short duration	Over all it a decent chair for the money. Caviat:. It's not a good office/gaming chair for long periods once broken in. Under 2 hrs, no issue.	Yes	4	3	4	4	3	2	0
