,word,word_count
793,alright,217
4188,im,217
1438,bought,213
699,afford,211
8,1,211
8636,warranty,211
8300,two,210
4608,last,209
792,already,209
8373,unit,208
8884,worth,207
1707,case,206
8898,wow,206
5014,maybe,206
1235,beautiful,205
2122,consider,204
5258,move,202
4228,include,202
8115,tomorrow,201
6303,quite,200
2473,definitely,199
3320,first,196
1894,clean,194
3141,extra,194
6274,put,192
1121,back,190
2001,comes,190
5645,original,189
1598,buying,188
4667,least,187
642,ad,186
6915,saw,186
5896,pets,186
6391,reasonable,184
8119,tonight,183
1297,best,182
8919,wrong,179
4795,location,177
6169,problem,176
718,agree,175
7216,sign,173
6341,range,172
5116,might,170
7392,soon,169
1303,better,166
7308,small,165
3298,find,164
2381,damage,164
8522,vehicle,164
7462,spend,164
2793,drive,163
5013,may,162
1104,away,162
6054,possible,161
3824,half,160
4098,however,160
3288,final,158
425,6,157
2222,cost,156
1677,care,156
4014,hmm,155
2194,cool,153
1989,color,152
3832,hand,151
1250,bedroom,151
1448,box,151
5387,neighborhood,151
5774,parking,150
3200,far,150
3985,higher,149
8000,thing,148
378,5,147
3514,full,147
6214,property,146
8847,wondering,146
2496,delivery,145
563,absolutely,145
3629,getting,145
6375,ready,142
2252,couple,141
5131,mind,140
5123,mileage,139
3239,feel,138
4896,made,138
6284,quality,138
3786,guess,137
3862,happy,137
6724,ride,135
6969,screen,135
4412,issues,134
3584,gas,134
2128,considering,133
2986,enough,133
8683,wear,133
8870,working,133
7584,steep,133
2406,day,132
5928,piece,132
2749,done,131
8362,unfortunately,130
6721,rid,129
4185,ill,128
1926,closer,128
6162,probably,128
1317,big,127
1820,check,127
5266,moving,127
2936,else,126
8129,top,125
5923,picture,124
5710,owner,124
808,amazing,124
717,ago,120
3326,fit,120
5893,pet,120
1798,charger,117
5471,nothing,116
8660,water,116
1002,ask,115
3542,furniture,114
5794,parts,114
861,another,113
7156,shipping,113
8698,week,112
4494,keep,112
5230,morning,112
1584,business,112
8645,washer,111
8265,trying,111
5997,plus,110
924,appliances,109
5734,paid,109
1775,chair,109
330,4,108
8058,tight,108
2262,cover,107
3863,hard,106
6257,purchase,106
6026,pool,106
8498,value,105
8823,within,105
2815,dryer,105
3572,garage,105
1251,bedrooms,104
6994,seat,104
6870,said,104
3925,hear,103
4775,live,103
815,amenities,102
8851,wood,101
5738,paint,101
6170,problems,100
6412,recently,100
2302,credit,100
7580,steal,100
7045,send,100
5188,model,100
9,10,99
5409,next,99
784,almost,99
5858,people,99
2256,course,99
5781,part,98
2214,correct,98
2,000,98
7423,space,98
8845,wonderful,97
7834,table,96
8176,trade,96
4501,kept,95
1130,bad,95
4937,man,94
8621,wanted,93
5861,per,93
3317,firm,93
831,amount,92
6835,runs,92
8002,things,92
7322,smoke,92
5025,mean,91
5354,needs,90
2660,discount,90
4342,interest,89
5335,near,89
4358,interior,88
4761,list,88
6918,says,87
3231,features,86
933,appreciate,86
1636,came,85
647,add,85
4730,light,84
7853,taken,84
8073,times,84
3191,family,83
4519,kids,83
7375,someone,83
7258,size,83
3490,friend,83
4083,hour,83
3113,expensive,82
8452,us,82
1170,barely,82
2961,end,81
8773,wife,81
5607,open,81
3052,evening,81
3651,glad,81
4918,maintenance,80
7385,son,80
3460,frame,80
1347,black,80
4603,large,79
7077,service,79
1776,chairs,79
3057,ever,79
4066,hope,78
3852,hands,78
2003,comfortable,78
5549,offers,78
4910,maintained,78
6260,purchasing,78
1528,bucks,78
3516,fully,78
6609,replaced,78
4624,laundry,77
6907,save,77
703,afraid,77
7013,security,77
590,accidents,77
7534,stains,76
1674,card,76
7890,tear,76
4970,market,76
8825,without,75
5368,negotiable,75
5548,offering,75
4814,longer,74
6594,renting,74
651,additional,74
7026,seen,74
577,acceptable,73
4792,local,73
7615,store,73
5579,older,73
4703,lets,72
4084,hours,72
4794,located,72
2980,enjoy,72
2509,dents,72
2562,details,72
6179,product,71
5883,person,71
4534,kitchen,71
4811,lol,71
1614,cable,71
804,always,71
4296,inside,71
1656,cant,70
3058,every,70
5568,oil,70
4268,information,70
6056,possibly,69
2750,dont,69
7734,super,69
587,accident,68
5824,paying,68
7681,sturdy,68
7024,seem,68
1630,call,68
3198,fantastic,68
2878,easy,67
6831,run,67
777,allowed,67
3500,front,67
1780,chance,67
6938,school,66
585,accessories,66
878,anymore,66
4616,later,66
6589,rental,65
5203,moment,65
4450,job,65
2008,coming,65
4671,leave,65
3986,highest,65
707,afternoon,65
7855,taking,65
1202,bath,65
6233,provide,65
8156,town,65
7672,student,65
5454,nope,64
4230,includes,64
4679,left,64
6839,rust,64
7206,side,64
2404,daughter,64
4923,major,64
8026,three,63
7299,slightly,63
902,apartments,63
8777,wiggle,63
3635,gift,62
8740,wheels,62
8310,u,62
3045,etc,62
3244,feet,62
179,20,62
774,allow,62
6258,purchased,61
6940,schools,61
5349,needed,61
3075,exactly,61
5915,picked,61
887,anyway,61
7940,test,61
711,age,61
7364,solid,61
2601,difference,60
3236,fee,60
4025,hold,60
455,7,60
6297,quiet,59
1244,bed,59
7358,sold,59
1376,blue,59
7382,somewhere,59
2827,due,59
7827,system,58
2341,currently,58
5299,must,58
4928,makes,57
8293,tv,57
7174,shopping,57
3336,fix,57
5867,perfectly,56
4786,load,56
271,30,56
7176,short,56
5878,perks,56
2621,dings,56
5493,number,55
5906,phones,55
8302,type,55
5148,minutes,55
3952,helmet,55
1437,bottom,54
1794,charge,54
1270,believe,54
2602,different,54
7152,ship,54
2910,either,54
4780,living,54
7442,special,54
8713,welcome,54
6292,question,54
4668,leather,53
3361,flexible,53
4410,issue,53
1460,brakes,53
5142,minor,52
2971,engine,52
4015,hmmm,52
723,agreement,52
7571,stay,52
3648,given,52
6559,remodeled,52
7611,stop,51
6002,point,51
1326,bikes,51
7674,studio,51
6376,real,51
8622,wanting,51
7754,suppose,51
7483,split,50
7858,talk,50
5006,mattress,50
4231,including,50
10,100,50
4547,knock,50
3845,handle,50
5449,none,50
582,access,49
6859,safe,49
2059,completely,49
379,50,49
4351,interesting,49
2024,community,49
7614,storage,49
1765,certainly,49
1204,bathroom,49
6999,seats,49
996,asap,48
7799,sweet,48
863,answer,48
5679,outside,48
4365,internet,48
4418,items,48
1773,chain,48
8955,yea,48
2729,dog,47
8759,white,47
1783,change,47
5917,picking,47
1813,cheap,47
1171,bargain,47
1814,cheaper,47
7677,stuff,47
5959,plan,47
2738,dollar,47
8388,unlocked,46
6083,practically,46
40,12,46
5872,perhaps,46
735,air,46
6603,repairs,46
1193,basically,46
4840,lots,46
1213,battery,46
5709,owned,46
7428,spare,46
6390,reason,46
3373,floor,45
5218,monthly,45
889,anywhere,45
8764,whole,45
3451,found,45
5907,photo,45
5654,otherwise,45
6075,power,45
4720,life,45
7231,similar,44
1982,college,44
5633,order,44
6353,rather,44
4054,honestly,44
4975,marks,44
2340,current,44
7087,settle,44
2233,couch,44
5260,moved,44
6138,priced,44
7808,swing,44
8375,units,44
4847,lovely,43
6141,pricey,43
5029,meant,43
656,address,43
1637,camera,43
8563,vintage,43
7328,smoking,43
8465,using,43
8701,weekend,43
7070,serious,43
8257,true,43
5589,ones,42
2783,drawers,42
6531,reliable,42
2360,cut,42
3938,heavy,42
7552,start,42
3164,fact,42
90,15,42
8084,tire,42
4162,id,42
8423,upgraded,42
2431,decent,42
4223,inches,42
1596,buyer,41
3959,helps,41
5165,missing,41
8946,ya,41
8595,wait,41
3376,floors,41
7862,tall,41
4393,iphone,40
8597,waive,40
3538,furnished,40
2407,days,40
3338,fixed,40
5920,pickup,40
483,8,40
3038,especially,40
1751,center,39
5404,newer,39
2401,date,39
7641,street,39
8022,thought,39
7892,tears,39
2276,cracks,39
7020,seeing,39
873,antique,39
8948,yard,39
4931,making,39
1784,changed,39
5374,negotiation,39
2875,easily,39
4314,instead,38
8202,transmission,38
8468,usually,38
7510,square,38
2918,electric,38
1397,body,38
7092,several,38
5448,non,38
3681,gonna,38
3655,glass,38
5722,package,38
5145,mint,38
8970,yep,38
1842,children,38
6607,replace,38
725,ah,38
6095,prefer,38
4750,line,37
5825,payment,37
798,although,37
8123,took,37
6350,rate,37
2692,distance,37
787,alot,37
2062,complex,37
6345,rare,36
5407,newly,36
3890,hate,36
8275,tune,36
5796,pass,36
2264,covered,36
5646,originally,36
5762,paperwork,36
8264,try,36
2753,door,36
8103,together,36
3814,haha,36
3575,garbage,36
2169,convenient,36
5744,pair,35
727,ahead,35
7003,second,35
2775,downtown,35
6057,post,35
4309,installed,35
7494,spot,35
6758,road,35
5336,nearby,35
6961,scratch,35
7556,starting,35
3374,flooring,35
6226,protector,35
562,absolute,35
8381,unless,35
3826,halfway,35
5925,pictures,35
4134,husband,35
1698,cars,35
2350,custom,34
6834,running,34
6581,renovated,34
5802,past,34
5425,night,34
5072,mentioned,34
2537,description,34
4265,info,34
6296,quickly,34
2266,covers,34
6723,ridden,34
6732,riding,34
8424,upgrades,34
4246,indeed,34
5028,means,34
786,along,34
3866,hardly,34
7458,speed,33
7253,sitting,33
8603,walk,33
5456,normal,33
3143,extras,33
886,anytime,33
3449,forward,33
6680,restaurants,33
1718,cat,33
7188,show,33
3802,gym,33
6059,posted,33
1206,bathrooms,33
5051,meeting,33
3243,fees,33
4006,history,33
8556,viewing,33
3992,highway,32
7250,site,32
2161,contract,32
8704,weeks,32
1693,carrier,32
5591,online,32
3329,fitness,32
2227,costs,32
3628,gets,32
1549,built,32
1309,bicycle,32
4867,luck,32
1547,building,32
8141,totally,32
7425,spacious,32
6729,rides,32
5036,mechanic,32
3650,giving,32
2435,decided,32
1339,birthday,32
5553,office,32
6676,rest,32
8607,walking,32
5711,owners,32
1851,chips,32
7256,six,31
1029,assure,31
4053,honest,31
1889,classic,31
4163,idea,31
3145,extremely,31
7242,single,31
6373,read,31
5071,mention,31
5475,noticeable,31
6695,retail,31
3857,happen,31
8881,worry,30
5837,pedals,30
7695,submit,30
1188,based,30
5132,mine,30
5237,mostly,30
6294,quick,30
5956,places,30
8798,windows,30
7329,smooth,30
6447,red,30
1409,book,30
7621,stove,30
1895,cleaned,30
7245,sir,30
4082,hot,29
7787,suv,29
3209,fast,29
8817,wish,29
3491,friendly,29
4124,hundred,29
3307,finish,29
979,arrange,29
6777,rode,29
3870,hardwood,29
5608,opened,29
4797,lock,29
234,25,29
6631,require,29
8297,twice,29
3671,goes,29
1786,changes,29
8567,visible,28
1237,beauty,28
1164,bank,28
5316,name,28
4513,kid,28
5547,offered,28
3179,fairly,28
4007,hit,28
8735,whats,28
720,agreed,28
3674,gold,28
7617,stores,28
2492,delivered,28
8213,trash,28
4950,manual,28
8139,total,28
1120,baby,27
5191,modern,27
1687,carpet,27
6796,rooms,27
5009,max,27
4628,lawn,27
5797,passed,27
8877,worn,27
8611,wall,27
7860,talking,27
1821,checked,27
1903,clear,27
623,across,27
1503,broken,27
7553,started,27
7541,standard,27
785,alone,27
3920,headphones,27
6600,repair,27
7920,tenant,26
2730,dogs,26
8771,wide,26
1878,city,26
3595,gave,26
3073,exact,26
2673,dishwasher,26
5771,park,26
3510,ft,26
5373,negotiating,26
3492,friends,26
1470,break,26
5977,player,26
1442,bout,26
5560,often,26
5990,plenty,26
4114,huge,26
3679,gone,26
1502,broke,25
5452,noon,25
4991,match,25
6737,rims,25
6617,report,25
7540,stand,25
3155,fabric,25
6980,scuffs,25
5653,others,25
6565,remote,25
7508,sq,25
1074,automatic,25
648,added,25
8709,weight,25
7439,speakers,25
5066,memory,25
5476,noticed,25
3481,fresh,25
6253,pump,25
1722,cats,25
5246,motor,25
2519,depends,25
1128,backyard,25
8210,transportation,25
3489,fridge,25
4734,lightly,24
5810,patio,24
7682,style,24
7172,shop,24
4748,limited,24
2348,cushions,24
1459,brake,24
6247,public,24
2837,durable,24
2338,curious,24
8355,understood,24
7560,state,24
7381,somewhat,24
6155,pristine,24
4583,lamp,24
7932,terms,24
8849,wont,24
230,24,24
3931,heat,23
6601,repaired,23
3335,five,23
8733,whatever,23
8035,throwing,23
7309,smaller,23
3112,expenses,23
8721,went,23
3926,heard,23
1683,carfax,23
5457,normally,23
7079,services,23
5975,play,23
1708,cases,23
2078,concerned,23
7078,serviced,23
180,200,23
1993,colors,23
920,apple,23
4200,immediately,23
7945,text,23
6789,roof,23
2615,dimensions,23
6157,private,22
2494,delivering,22
2035,company,22
3519,functional,22
1615,cables,22
6466,references,22
1840,child,22
3801,guys,22
4164,ideal,22
8267,tub,22
3351,flat,22
7049,sense,22
1330,bills,22
8976,yet,22
1329,bill,22
7401,sort,22
2220,cosmetic,22
7722,sun,22
4234,income,22
2645,disappointed,22
5089,metal,22
569,ac,22
2921,electricity,22
1214,bay,22
4524,kinda,22
3022,equipment,22
650,addition,22
4787,loaded,22
1,00,22
4687,legs,22
3616,gently,21
1734,cd,21
6132,previous,21
8353,understandable,21
1532,budge,21
4097,howdy,21
1764,certain,21
2394,dark,21
7530,stain,21
7931,term,21
5989,pleasure,21
2940,email,21
7842,tad,21
3941,height,21
1436,bottle,21
7320,smog,21
5397,network,21
7583,steel,21
4859,lowering,21
5791,partner,21
4820,looked,21
5626,options,21
4747,limit,21
909,apologize,21
5625,option,21
6880,salvage,21
8619,wanna,21
2806,dropped,21
8623,wants,21
331,40,21
810,amazon,21
8146,tour,20
896,apart,20
8276,tuned,20
5474,notice,20
3331,fits,20
4013,hm,20
11,1000,20
2272,crack,20
1212,batteries,20
3694,gorgeous,20
6507,regular,20
5184,mobile,20
1319,bigger,20
5660,ouch,20
6473,refinished,20
1378,bluetooth,20
5998,pm,20
6140,prices,20
4736,lights,20
6436,records,20
2762,double,20
8555,view,20
6886,san,20
3911,head,20
5122,mile,20
3760,grocery,20
1094,average,20
5250,mount,20
2273,cracked,20
4221,inch,20
5687,overall,20
6552,remember,20
3887,hassle,20
2382,damaged,20
664,adjustable,20
8743,whenever,20
5969,plastic,19
6234,provided,19
6982,sd,19
8371,unique,19
5933,pillows,19
3084,except,19
3590,gated,19
2361,cute,19
1725,cause,19
5760,paper,19
3108,expect,19
5138,minimum,19
4997,material,19
1899,cleaning,19
5739,painted,19
5856,penny,19
3517,fun,19
3800,guy,19
4835,losing,19
6105,premium,19
8246,trip,19
3778,guarantee,19
853,animals,19
925,application,19
7805,swimming,19
6387,rear,19
8116,ton,19
5826,payments,19
2462,defects,19
62,13,19
879,anyone,18
8738,wheel,18
2241,counter,18
1589,busy,18
5721,pack,18
2782,drawer,18
6369,reach,18
4833,lose,18
5288,multiple,18
2874,easier,18
3728,granite,18
5339,nearly,18
380,500,18
5352,needing,18
7236,simply,18
7616,stored,18
6184,professionally,18
2794,driven,18
2937,elsewhere,18
6458,reduced,18
1191,basic,18
3488,friday,18
7350,sofa,18
3453,four,18
7311,smart,18
5723,packaging,18
7984,theres,17
1597,buyers,17
6962,scratched,17
4841,loud,17
3133,extended,17
3356,flaws,17
4425,ive,17
1142,balcony,17
2247,country,17
3614,generous,17
5929,pieces,17
1452,boyfriend,17
7833,ta,17
1754,central,17
2071,comps,17
7837,tables,17
3806,ha,17
7190,shower,17
4902,mail,17
8250,trouble,17
4838,lost,17
3766,ground,17
2797,drives,17
4045,homes,17
3528,funds,17
7854,takes,17
4060,hook,17
4483,justify,17
4726,lift,17
484,80,17
848,android,17
8978,yo,17
3699,gotten,17
5761,papers,17
7561,stated,17
683,advertised,17
5389,neighbors,17
7866,tank,17
4666,leasing,17
7130,shelf,17
8418,updated,17
2542,design,17
5886,personally,17
1026,assuming,17
6276,putting,17
8775,wifi,17
5297,music,17
8261,trust,17
1230,beat,17
8259,trunk,17
134,18,17
6986,sealed,17
5107,microwave,17
1581,bus,17
3091,excited,17
3168,factory,17
3932,heated,17
3184,fall,16
4763,listen,16
4955,manufacturer,16
7218,signed,16
1857,choose,16
1854,choice,16
272,300,16
2801,driving,16
2855,e,16
6894,sat,16
2306,crime,16
6705,return,16
6302,quit,16
4935,mall,16
960,areas,16
5147,minute,16
7058,separate,16
3652,gladly,16
6194,project,16
7175,shops,16
7624,straight,16
2057,complete,16
8328,unable,16
6408,received,16
6012,policy,16
6901,saturday,16
3788,guest,16
6769,rock,16
7230,sim,16
5314,nah,16
2207,cords,16
2092,conditions,16
1209,baths,16
8142,touch,16
7223,signs,16
1003,asked,16
4907,maintain,16
2699,district,16
1127,backup,16
7763,surface,16
8131,tops,16
4605,larger,16
6744,rips,16
2668,discuss,16
1296,besides,16
1644,campus,15
8656,watch,15
4370,intersted,15
5908,photos,15
888,anyways,15
8908,wrecked,15
3161,facilities,15
1753,centers,15
1476,breaks,15
4705,letting,15
3411,food,15
7646,stretch,15
515,9,15
4307,install,15
7255,situation,15
2077,concern,15
2787,dresser,15
1613,cabinets,15
8215,travel,15
7196,shows,15
3416,footage,15
5786,particular,15
361,48,15
6610,replacement,15
8815,wise,15
1109,awhile,15
8024,thousand,15
7038,seller,15
1507,brother,15
2518,depending,15
1508,brought,15
3532,funny,15
4906,mainly,15
2027,commute,15
4131,hurry,15
6111,present,15
392,555,15
6250,pull,15
7436,speaker,15
2717,doable,15
6514,reject,15
7449,specific,15
4836,loss,15
8523,vehicles,14
25,11,14
5731,pads,14
8805,winter,14
8269,tubes,14
1611,cabinet,14
7751,support,14
2605,difficult,14
1496,bringing,14
2560,detailed,14
833,amp,14
2999,entire,14
353,45,14
6074,pounds,14
8596,waiting,14
6933,schedule,14
3282,fill,14
3473,freeway,14
2167,convenience,14
1676,cards,14
3275,figure,14
3139,exterior,14
6917,saying,14
7228,silver,14
2907,eh,14
8258,truly,14
2434,decide,14
6485,refrigerator,14
1530,buddy,14
942,approved,14
6330,raise,14
8642,wash,14
4595,landscaping,14
4502,key,14
7921,tenants,14
8880,worries,14
7595,stick,14
7193,showing,14
2635,directly,14
8879,worried,14
4324,insurance,14
1802,charging,14
2345,cushion,14
6811,round,14
1024,assume,14
5408,news,14
7919,ten,14
109,16,14
2894,edges,14
5082,message,14
7298,slight,14
7566,station,14
7495,spots,14
8307,typo,14
4617,latest,14
426,60,14
1607,c,14
7720,summer,14
4242,incredible,14
6598,repainted,14
5309,n,13
1449,boxes,13
1746,cell,13
6402,rebuilt,13
2091,conditioning,13
1928,closet,13
678,advance,13
3148,eye,13
4208,important,13
7899,technology,13
7137,shelves,13
4889,machine,13
4533,kit,13
4289,inquiring,13
3415,foot,13
6317,rack,13
6863,safety,13
5788,parties,13
6457,reduce,13
4987,master,13
8393,unopened,13
5443,noise,13
4905,main,13
8422,upgrade,13
8145,tough,13
4938,manage,13
6227,protectors,13
6683,restored,13
2622,dining,13
6013,polish,13
5046,medical,13
4069,hopefully,13
8411,unused,13
1979,collector,13
918,appears,13
1696,carry,13
6210,properly,13
5037,mechanical,13
8444,upstairs,13
4493,kbb,13
1694,carriers,13
7533,stainless,13
7249,sit,13
6405,receipt,13
1185,base,13
7331,smoothly,13
2443,decor,13
3193,fan,13
6506,regret,13
1146,ball,13
6632,required,13
8993,youre,13
1427,borrow,13
601,account,13
7260,sized,13
3110,expecting,13
2803,drone,13
6212,properties,13
7107,shall,13
1862,christmas,13
1103,aware,12
2499,demand,12
8557,views,12
9008,yup,12
5239,mother,12
3869,hardware,12
1545,build,12
1609,ca,12
1510,brown,12
6911,saving,12
2383,damages,12
2457,deep,12
1051,attention,12
990,art,12
2661,discounted,12
1371,blocks,12
3662,gloves,12
1977,collection,12
7424,spaces,12
6675,responsible,12
719,agreeable,12
3601,gears,12
3935,heating,12
1962,coffee,12
3315,fireplace,12
5999,pocket,12
8865,worked,12
4495,keeping,12
4183,ikea,12
5963,planning,12
2066,components,12
3537,furnish,12
968,arm,12
2068,compromise,12
6810,roughly,12
1181,bars,12
2506,dent,12
7590,stereo,12
2377,dad,12
1451,boy,12
2164,control,12
2882,ebay,12
4754,lines,12
5032,measurements,12
7129,sheets,12
8590,w,12
8028,threw,12
3713,grand,12
1823,checks,12
8286,turn,12
2412,dealer,12
4016,hmmmm,12
6857,saddle,12
1628,california,12
2210,corner,12
4279,ink,12
3425,forever,11
2861,earbuds,11
2295,crazy,11
2127,considered,11
3158,fabulous,11
7290,sleep,11
2038,compared,11
2126,consideration,11
8209,transport,11
7564,states,11
3109,expected,11
1931,cloth,11
3754,grey,11
8063,tile,11
3465,francisco,11
8108,told,11
3250,fenced,11
3767,grounds,11
3195,fancy,11
2486,deliever,11
8182,traffic,11
3426,forget,11
8177,trades,11
3720,grandma,11
1822,checking,11
7353,soft,11
3354,flawless,11
8200,transit,11
3290,finalize,11
3037,esn,11
7461,speeds,11
2903,efficient,11
3304,finger,11
1964,coin,11
7922,tend,11
8007,third,11
1724,caught,11
2623,dinner,11
1252,beds,11
1405,bonus,11
5274,mpg,11
6747,risk,11
4565,l,11
6027,pools,11
6346,rarely,11
6198,promise,11
8987,young,11
8440,ups,11
5554,official,11
3913,headboard,11
4115,huh,11
1492,bright,11
4846,loved,11
4099,hows,11
5778,parks,11
5681,outstanding,11
5340,neat,11
579,accepted,11
5795,party,11
1195,basket,11
8843,wonder,11
1182,bart,11
4743,liked,11
5884,personal,11
8762,whoa,11
4798,locked,11
636,actual,11
1056,attractive,11
4050,honda,11
6411,recent,11
6407,receive,11
243,27,11
42,1200,11
6109,prepared,11
5345,necessary,11
8222,tread,11
1563,bunch,11
6160,pro,11
4165,ideally,11
4254,indoors,11
4613,late,11
5520,obviously,11
4858,lowered,11
1290,berkeley,11
3849,handles,11
1306,beyond,11
5061,membership,11
5413,nicely,11
3854,hang,11
5182,mo,11
6182,products,11
696,affect,11
6183,professional,11
8436,upon,11
5505,oakland,11
6142,pricing,11
6992,season,11
5656,otterbox,10
8598,waived,10
8861,word,10
4029,holds,10
6697,retails,10
8136,toss,10
2754,doors,10
7312,smartphone,10
8770,wi,10
6979,scuff,10
5668,outdated,10
7671,stuck,10
6351,rated,10
8712,weird,10
7659,strong,10
8613,walls,10
2106,confused,10
675,adult,10
1152,ballpark,10
1300,bet,10
677,adults,10
5007,mattresses,10
3518,function,10
7633,strapped,10
2833,duplex,10
2826,dude,10
1328,biking,10
4998,materials,10
7325,smoker,10
7648,strict,10
6657,residents,10
4993,matching,10
6380,realized,10
6379,realize,10
5595,ons,10
8421,upfront,10
8783,wiling,10
2784,dream,10
4967,mark,10
1123,background,10
4398,iphones,10
468,75,10
1673,carbon,10
4238,increase,10
6521,relatively,10
2965,energy,10
3547,future,10
7723,sunday,10
92,1500,10
3923,headset,10
91,150,10
4555,known,10
2594,didnt,10
1951,coat,10
7750,supply,10
7937,terrific,10
4570,labor,10
7155,shipped,10
1605,bye,10
2570,device,10
7762,surely,10
6043,ports,10
4658,learn,10
2550,desk,10
3853,handy,10
3393,foam,10
1012,assembled,10
1554,bulbs,10
6087,pre,10
2535,describe,10
6147,prime,10
6322,radio,10
5924,pictured,10
6858,sadly,10
2146,contacting,10
6315,racing,10
4855,lowball,10
6884,samsung,10
3062,everyone,10
4472,jump,10
1165,bar,10
7446,specials,10
177,1st,10
3252,fender,10
2396,darn,10
4732,lighting,10
2144,contact,10
3263,fi,10
4514,kidding,10
3751,green,10
8189,training,10
6509,regularly,10
1638,cameras,10
6505,registration,10
8036,thrown,10
3115,experience,10
3957,helpful,10
7585,steering,10
7221,significantly,10
4308,installation,9
5126,military,9
5202,mom,9
7318,smells,9
2113,connect,9
1789,channels,9
5109,mid,9
2134,console,9
3818,hair,9
6639,research,9
670,admit,9
4791,loans,9
8535,verizon,9
3276,figured,9
4744,likely,9
3296,financial,9
1969,cold,9
4706,level,9
3314,fire,9
4675,led,9
4672,leaves,9
1017,assigned,9
1906,clearly,9
4664,leases,9
7389,sons,9
1932,clothes,9
8473,utility,9
8066,till,9
8092,tlc,9
8032,throughout,9
4801,locks,9
1107,awful,9
2094,condo,9
5011,maximum,9
700,affordable,9
3162,facility,9
4992,matches,9
3173,fading,9
6910,saves,9
7464,spent,9
6738,ring,9
2043,compatible,9
4868,lucky,9
3485,freshly,9
6881,salvaged,9
6718,rich,9
824,ammenities,9
4880,luxury,9
7605,stock,9
7098,shade,9
8874,world,9
7115,share,9
7687,sub,9
7685,stylish,9
3722,grandmother,9
7110,shame,9
211,21,9
3702,grab,9
2728,doesnt,9
7675,studios,9
7095,sewer,9
2814,dry,9
2353,customers,9
1387,board,9
273,3000,9
8306,typically,9
290,32gb,9
8160,townhouse,9
5620,opportunity,9
6374,reading,9
2808,dropping,9
2399,data,9
6273,pushing,9
6270,push,9
8931,x,9
7179,shortly,9
6067,potential,9
6173,process,9
2545,designer,9
2547,desirable,9
3858,happened,9
2552,desperate,9
6033,popular,9
3893,haul,9
8241,tried,9
6028,poor,9
6220,protect,9
8194,transaction,9
2646,disassemble,9
2651,disc,9
5912,pic,9
2662,discounts,9
8186,trails,9
8185,trailer,9
2809,drove,9
1929,closets,9
8832,woah,9
6825,rug,9
2879,eat,9
7914,telling,9
2257,court,9
6456,redone,9
2283,craigslist,9
3607,generally,9
7942,tested,9
2289,crash,9
7587,step,9
2994,entertain,9
8748,whether,9
5419,nicks,9
6498,regarding,9
427,600,9
3309,finished,8
4694,length,8
8047,ti,8
6225,protective,8
8756,whiskey,8
8046,thx,8
3299,finding,8
928,appointment,8
7715,suit,8
1975,collectible,8
2939,em,8
3294,finally,8
592,accommodate,8
5149,mirror,8
8977,yikes,8
3322,fish,8
3020,equal,8
6823,rude,8
16,100k,8
8708,weighs,8
7800,sweeten,8
3360,flexibility,8
1937,clubhouse,8
